ID,Route,Direction,Milepost_S,Milepost_E,Distance,Slope,Radius,Curve_Length,Num_Lanes,Delta_Slope,Delta_Radius,Delta_Lanes,AADT,Max_Speed,Min_Speed,Mean_Speed,Consequence,,
10198,영동선,1,90.566,90.85,0.284,-3,0,1809,2,0,3000,0,31089,100.00 ,108.00 ,108.00 ,0,,
10199,영동선,1,90.85,91.05,0.2,2.19,0,1809,2,-5.19,0,0,31089,100.00 ,108.10 ,108.10 ,0,,
10200,영동선,1,91.05,91.72,0.67,0.81,0,1809,2,1.38,0,0,31089,100.00 ,107.90 ,108.00 ,0,,
10201,영동선,1,91.72,91.92,0.2,1.79,0,1809,2,-0.98,0,0,31089,100.00 ,107.80 ,107.80 ,0,,
10202,영동선,1,91.92,92.375,0.455,0.98,0,1809,2,0.81,0,0,31089,100.00 ,107.70 ,107.90 ,0,,
10203,영동선,1,92.375,92.42,0.045,0.98,800,467,2,0,-800,0,31089,100.00 ,100.00 ,100.00 ,0,,
10204,영동선,1,92.42,92.842,0.422,3.98,800,467,2,-3,0,0,31089,100.00 ,108.80 ,108.80 ,0,,
10205,영동선,1,92.842,93.02,0.178,3.98,0,1909,2,0,800,0,28838,100.00 ,108.60 ,108.60 ,0,,
10206,영동선,1,93.02,93.54,0.52,-3,0,1909,2,6.98,0,0,28838,100.00 ,108.20 ,108.20 ,0,,
10207,영동선,1,93.54,93.94,0.4,4.182,0,1909,2,-7.182,0,0,28838,100.00 ,108.00 ,108.00 ,0,,
10208,영동선,1,93.94,94.26,0.32,1.19,0,1909,2,2.992,0,0,28838,100.00 ,107.80 ,107.80 ,0,,
10209,영동선,1,94.26,94.42,0.16,1.553,0,1909,2,-0.363,0,0,28838,100.00 ,107.80 ,107.80 ,0,,
10210,영동선,1,94.42,94.751,0.331,-0.363,0,1909,2,1.916,0,0,28838,100.00 ,107.90 ,107.90 ,0,,
10211,영동선,1,94.751,94.98,0.229,-0.363,3000,596,2,0,-3000,0,28838,100.00 ,100.00 ,100.00 ,0,,
10212,영동선,1,94.98,95.347,0.367,2.527,3000,596,2,-2.89,0,0,28838,100.00 ,108.40 ,108.40 ,0,,
